show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,imdb_score
s30,Movie,Biography Life 55,Laura Miller,"Matt Anderson, Amelia Moore",Argentina,"December 12, 2016",2000,,175 min,Comedy,A musical journey,8.5
s31,Movie,Love Story 88,James Martinez,"Mia Young, Olivia Brown, Charlotte Miller",Nigeria,"April 08, 2024",1993,NC-17,133 min,Family,A romantic comedy,6.8
s32,Movie,Love Story 77,,"Amelia Moore, Luke Garcia, Tom Johnson, Ryan Davis",United Kingdom,"July 30, 2023",2007,PG-13,180 min,Animation,A sci-fi epic,8.3
s33,Movie,Love Story 61,Christopher Lee,"Sophie Taylor, Noah White",Switzerland,"February 15, 2024",1992,TV-Y,124 min,"War & Military, Western, Action & Adventure",A crime investigation story,4.8
s34,TV Show,Sci-Fi Chronicles 24,Jessica Turner,"Matt Anderson, Luke Garcia","China, Singapore","May 12, 2016",2005,NC-17,9 Seasons,Documentary,A heartwarming family tale,5.1
s35,TV Show,Animation Fun 10,Jennifer Lopez,"Mia Young, Isabella Adams, Benjamin Turner, Grace Martinez",Italy,"May 03, 2025",1998,NC-17,7 Seasons,"Animation, Action & Adventure",A romantic comedy,7.2
s36,TV Show,Crime Investigation 32,Kevin Young,"Noah White, Charlotte Miller, Benjamin Turner, Ethan Rodriguez",Italy,"October 27, 2022",2014,TV-Y7,1 Season,War & Military,A historical drama,7.6
s37,Movie,Comedy Central 64,David Wilson,"Olivia Brown, Oliver Green, Amelia Moore, William Thompson",Australia,"August 07, 2019",1999,,127 min,"Drama, Crime",A crime investigation story,6.0
s38,Movie,Crime Scene 70,,"Grace Martinez, Ryan Davis, Mia Young, Olivia Brown","France, China","November 12, 2016",1991,,74 min,Thriller,A documentary about life,8.2
s39,Movie,Adventure Quest 23,,"Isabella Adams, Benjamin Turner, Jake Wilson",Taiwan,"November 11, 2017",2019,TV-MA,199 min,Mystery,A romantic comedy,6.5
s40,Movie,Sci-Fi Future 59,Robert Taylor,"Olivia Brown, Grace Martinez, Ethan Rodriguez, Ava Clark, Chloe Lopez",Switzerland,"January 29, 2018",,NR,72 min,"Family, Documentary",A dark horror story,5.4
s41,Movie,Sci-Fi Future 87,David Wilson,"Chloe Lopez, Oliver Green",Spain,"January 05, 2016",2010,PG-13,111 min,"Mystery, Western",A romantic comedy,5.7
s42,Movie,Crime Scene 38,Christopher Lee,"Ryan Davis, Jake Wilson, Grace Martinez, Ethan Rodriguez, Ava Clark",Colombia,"January 06, 2021",2013,TV-MA,127 min,"Mystery, Horror",An animated adventure,
s43,Movie,War Stories 42,,"Chloe Lopez, Mia Young, Olivia Brown, Jake Wilson, Emma Smith",Singapore,"April 20, 2016",2024,TV-G,154 min,"Historical, Biography",A musical journey,6.4
s44,TV Show,Mystery Show 32,James Martinez,,Argentina,"August 04, 2024",2013,TV-MA,6 Seasons,Horror,An animated adventure,
s45,Movie,Horror House 83,John Smith,"Grace Martinez, Jake Wilson, Matt Anderson, Ryan Davis",Turkey,"February 13, 2024",2011,TV-14,60 min,"Thriller, Animation, Romance",A thrilling adventure story,
s46,Movie,Family Fun 31,John Smith,"Jake Wilson, Mia Young","Hong Kong, China","September 22, 2023",1996,R,71 min,"Western, Family, Musical",A thrilling adventure story,
s47,Movie,Crime Scene 52,Emily Davis,"Ryan Davis, Amelia Moore, Noah White, Jake Wilson, Benjamin Turner",Netherlands,"April 10, 2019",2023,TV-PG,170 min,"Historical, Sci-Fi & Fantasy",An action-packed thriller,8.4
s48,Movie,Documentary Life 54,Christopher Lee,"Ava Clark, Jake Wilson, Isabella Adams, Ryan Davis",Russia,"January 31, 2016",2013,TV-PG,75 min,"Crime, Horror",A historical drama,6.5
s49,Movie,Action Hero 37,Amanda White,"Jake Wilson, Isabella Adams, Grace Martinez",Denmark,"April 15, 2016",2004,TV-PG,66 min,"Animation, Action & Adventure",A musical journey,8.8
s50,Movie,Family Fun 1,David Wilson,"Ryan Davis, Jake Wilson, Tom Johnson, Amelia Moore, Matt Anderson",Brazil,"February 24, 2019",2010,TV-14,81 min,Comedy,A romantic comedy,6.5
s51,TV Show,Family Show 29,Robert Taylor,"Ava Clark, Mia Young",Singapore,"November 28, 2020",1992,TV-14,1 Season,,An action-packed thriller,8.1
s52,TV Show,Action Pack 21,Jessica Turner,"Jake Wilson, Ethan Rodriguez, Charlotte Miller",Norway,"October 23, 2015",1992,TV-G,2 Seasons,"War & Military, Biography",A documentary about life,
s53,TV Show,Adventure Time 11,Laura Miller,"Ryan Davis, Mia Young, Olivia Brown, Grace Martinez",Canada,"June 10, 2019",2011,PG-13,2 Seasons,Western,A dark horror story,9.0
s54,TV Show,Crime Investigation 10,David Wilson,"Amelia Moore, Jake Wilson, Ryan Davis","Singapore, Taiwan","June 18, 2023",2018,TV-14,10 Seasons,"Crime, Thriller, Musical",An animated adventure,8.2
s55,Movie,Biography Life 8,Michael Brown,"Emma Smith, Amelia Moore, Ava Clark, Chloe Lopez, Ryan Davis","Canada, Malaysia, Belgium","March 10, 2020",1992,TV-14,108 min,Thriller,An animated adventure,
s56,TV Show,Musical Show 22,Michael Brown,"Emma Smith, Grace Martinez, Oliver Green",Brazil,"January 30, 2019",2008,TV-Y,10 Seasons,"Crime, Drama",A crime investigation story,5.8
s57,Movie,Sports Champion 20,Mark Thompson,"Chloe Lopez, Ethan Rodriguez, Jake Wilson, Ryan Davis",Sweden,"February 13, 2024",2023,TV-MA,168 min,Family,An action-packed thriller,8.1
s58,Movie,Horror House 29,,"William Thompson, Charlotte Miller","India, Sweden","October 29, 2024",1998,PG-13,101 min,"Romance, Musical",A dark horror story,5.6
s59,Movie,Musical Dreams 79,Kevin Young,"Chloe Lopez, Isabella Adams, Matt Anderson","China, Taiwan","August 18, 2023",2014,TV-Y7,101 min,"Thriller, Animation",An animated adventure,7.1
s60,Movie,Dark Night 92,Emily Davis,"Luke Garcia, Oliver Green, William Thompson",Thailand,"February 28, 2024",2012,TV-Y7,73 min,War & Military,A dark horror story,6.0
s61,Movie,Dark Night 92,David Wilson,"Isabella Adams, Jake Wilson, Amelia Moore, Oliver Green","United Kingdom, Colombia","June 02, 2017",2025,TV-14,195 min,"Documentary, Family",An action-packed thriller,8.2
s62,Movie,Musical Dreams 9,Jessica Turner,"William Thompson, Benjamin Turner",Russia,"January 07, 2015",2005,PG-13,81 min,Western,A crime investigation story,6.3
s63,TV Show,Romance Stories 3,Amanda White,"Ava Clark, Ryan Davis","France, Sweden","June 30, 2016",2024,TV-MA,3 Seasons,"Sports, Romance",A heartwarming family tale,8.9
s64,Movie,Action Hero 38,Robert Taylor,"Chloe Lopez, William Thompson, Ethan Rodriguez, Isabella Adams","Italy, Philippines","January 02, 2019",1993,TV-Y,129 min,War & Military,A documentary about life,5.4
s65,Movie,Crime Scene 48,Anthony Green,"Mia Young, Ryan Davis","Mexico, Israel, Philippines","August 08, 2018",2010,NC-17,174 min,Musical,A thrilling adventure story,8.8
s66,Movie,Sports Champion 56,Sarah Johnson,"Ava Clark, William Thompson, Sophie Taylor, Tom Johnson, Jake Wilson",China,"May 23, 2015",2005,TV-Y,152 min,"Thriller, Musical",A dark horror story,4.9
s67,Movie,Comedy Central 68,Christopher Lee,"Olivia Brown, Tom Johnson, Sophie Taylor",Germany,"December 08, 2017",2018,TV-14,133 min,"Sci-Fi & Fantasy, Horror, Thriller",An animated adventure,7.9
s68,TV Show,Mystery Show 44,Christopher Lee,"Charlotte Miller, Amelia Moore",Brazil,"December 25, 2022",2001,TV-PG,4 Seasons,Thriller,An animated adventure,
s69,Movie,War Stories 74,Nicole Adams,"Ryan Davis, Chloe Lopez","Hong Kong, Egypt","August 10, 2019",1994,TV-Y,78 min,"Mystery, Thriller",A crime investigation story,5.4
s70,TV Show,Comedy Hour 28,Sarah Johnson,"Chloe Lopez, Sophie Taylor, Benjamin Turner","Norway, Egypt","January 13, 2025",1995,TV-MA,9 Seasons,"Historical, Drama",A mysterious drama series,7.2
s71,TV Show,Comedy Hour 43,Laura Miller,"Tom Johnson, Ryan Davis",Colombia,"April 21, 2022",2016,G,8 Seasons,"Family, Sports",A historical drama,6.6
s72,Movie,Action Hero 21,Jessica Turner,"Amelia Moore, Jake Wilson, Noah White, Charlotte Miller","Switzerland, Spain","July 13, 2023",2025,R,179 min,Thriller,A romantic comedy,8.6
s73,Movie,Animation World 32,Lisa Anderson,"Matt Anderson, Sophie Taylor, Isabella Adams, William Thompson","Singapore, United Kingdom","January 04, 2016",2022,R,115 min,Family,A historical drama,5.8
s74,TV Show,The Series 7,James Martinez,"Ava Clark, Emma Smith, Ethan Rodriguez, Benjamin Turner, Matt Anderson",Belgium,"August 27, 2020",2025,TV-14,10 Seasons,"War & Military, Mystery, Crime",A dark horror story,5.4
s75,TV Show,Sci-Fi Chronicles 26,Sarah Johnson,,"Egypt, Taiwan","September 02, 2016",2022,TV-14,6 Seasons,"Family, Crime, Sports",A romantic comedy,4.6
s76,TV Show,Adventure Time 44,Michelle Rodriguez,"Amelia Moore, Isabella Adams",Thailand,"February 02, 2023",2020,TV-MA,10 Seasons,Documentary,A musical journey,
s77,TV Show,The Series 29,David Wilson,"Mia Young, William Thompson, Isabella Adams","South Korea, Spain","October 25, 2020",2010,TV-G,9 Seasons,"Musical, Crime, Mystery",A musical journey,8.3
s78,Movie,Sci-Fi Future 79,Maria Garcia,"Grace Martinez, Chloe Lopez, Benjamin Turner, Matt Anderson",Hong Kong,"November 29, 2018",2007,TV-14,199 min,"Mystery, Thriller, Family",A musical journey,
s79,Movie,Musical Dreams 84,Jessica Turner,"Charlotte Miller, Luke Garcia, Jake Wilson, Olivia Brown",Argentina,"July 27, 2015",2023,R,73 min,Sports,A mysterious drama series,
s80,Movie,War Stories 21,Jessica Turner,"Chloe Lopez, Noah White, Amelia Moore","Canada, Thailand","December 31, 2020",1992,PG-13,166 min,Comedy,A documentary about life,5.4
s81,TV Show,Fantasy World 19,John Smith,"Noah White, Chloe Lopez",Egypt,"July 16, 2020",1998,TV-G,5 Seasons,Romance,A historical drama,5.4
s82,Movie,Thriller Night 38,Robert Taylor,"Mia Young, William Thompson, Noah White, Ryan Davis, Ethan Rodriguez",Spain,"May 09, 2020",2005,,158 min,"Crime, Family",A sci-fi epic,
s83,Movie,Family Fun 89,Emily Davis,"Ethan Rodriguez, William Thompson, Chloe Lopez",Philippines,"February 14, 2019",2004,TV-G,99 min,"Mystery, Biography, Sports",A historical drama,8.1
s84,Movie,Sports Champion 11,Anthony Green,"Benjamin Turner, Olivia Brown",Malaysia,"April 08, 2017",1999,TV-PG,173 min,Sports,A crime investigation story,4.8
s85,Movie,Comedy Central 66,Mark Thompson,"Chloe Lopez, Tom Johnson, Ethan Rodriguez, Luke Garcia, Benjamin Turner",India,"October 02, 2019",1994,G,77 min,Family,A mysterious drama series,9.1
s86,Movie,Animation World 48,Daniel Clark,"Ethan Rodriguez, Ryan Davis, Charlotte Miller, Jake Wilson, Ava Clark","Switzerland, Egypt, Spain","March 01, 2023",1990,NC-17,178 min,"Historical, War & Military",An action-packed thriller,5.2
s87,TV Show,Drama Series 47,Sarah Johnson,"Amelia Moore, Tom Johnson, Grace Martinez, Matt Anderson, Ryan Davis",South Korea,"September 29, 2017",2015,TV-PG,4 Seasons,"Thriller, Western",An action-packed thriller,7.9
s88,Movie,Thriller Night 74,Christopher Lee,"William Thompson, Grace Martinez, Mia Young",Mexico,"January 08, 2022",2025,TV-Y,157 min,Biography,A romantic comedy,8.0
s89,TV Show,Romance Stories 16,Jennifer Lopez,"Oliver Green, Emma Smith, Charlotte Miller",Egypt,"July 03, 2016",2006,TV-MA,2 Seasons,"Drama, Sci-Fi & Fantasy",A documentary about life,7.3
s90,Movie,Love Story 25,Mark Thompson,"Isabella Adams, Matt Anderson, Noah White","Turkey, Italy","April 26, 2023",2020,NR,112 min,Crime,A documentary about life,7.5
s91,Movie,Romance Road 34,Jessica Turner,"Noah White, Matt Anderson, Ava Clark, Amelia Moore, Mia Young","Australia, United Kingdom","December 04, 2017",2016,R,144 min,"Documentary, Sports",A historical drama,8.1
s92,TV Show,Romance Stories 47,Jessica Turner,"Sophie Taylor, Jake Wilson, Charlotte Miller, Isabella Adams","South Korea, Egypt","May 19, 2015",1994,TV-MA,1 Season,Documentary,A mysterious drama series,
s93,TV Show,Sci-Fi Chronicles 30,Laura Miller,"Isabella Adams, Tom Johnson, Benjamin Turner, Mia Young, Charlotte Miller",,"February 06, 2023",2008,,7 Seasons,"Horror, Historical, Thriller",A sci-fi epic,8.3
s94,Movie,Sci-Fi Future 51,,"Benjamin Turner, Grace Martinez, Amelia Moore, Chloe Lopez, Ryan Davis","India, Canada","July 19, 2019",2025,TV-MA,62 min,Biography,A dark horror story,8.5
s95,TV Show,Mystery Show 34,Maria Garcia,"Luke Garcia, Emma Smith, Ryan Davis, Amelia Moore, Benjamin Turner","United Kingdom, Turkey","August 01, 2021",2015,NC-17,3 Seasons,"War & Military, Crime",A musical journey,
s96,Movie,Love Story 65,Amanda White,"Grace Martinez, Ryan Davis, Noah White, Ethan Rodriguez, Charlotte Miller",China,"July 02, 2020",2025,TV-Y7,107 min,"Drama, Family",A musical journey,
s97,Movie,Sci-Fi Future 20,David Wilson,"Ava Clark, Olivia Brown, Ryan Davis, Tom Johnson",Nigeria,"February 23, 2016",2001,TV-PG,191 min,Mystery,A sci-fi epic,6.0
s98,Movie,Documentary Life 2,Daniel Clark,"Benjamin Turner, William Thompson, Sophie Taylor",Nigeria,"May 18, 2018",1999,,171 min,Drama,An action-packed thriller,6.8
s99,Movie,Sports Champion 26,David Wilson,"Noah White, Ethan Rodriguez, Amelia Moore, Oliver Green, Charlotte Miller","Spain, Indonesia","August 06, 2018",2002,PG-13,161 min,Sports,An action-packed thriller,5.8
s100,Movie,Documentary Life 47,Mark Thompson,,Philippines,"April 27, 2024",2016,PG-13,137 min,"Biography, War & Military",A sci-fi epic,6.4
s101,Movie,Fantasy Land 89,Sarah Johnson,"Charlotte Miller, Ryan Davis, Olivia Brown, Grace Martinez",India,"April 25, 2021",2015,TV-Y,170 min,Documentary,A crime investigation story,7.7
s102,Movie,Drama Queen 58,Kevin Young,,Canada,"April 20, 2016",1999,TV-Y,176 min,"Mystery, Sports",A musical journey,6.0
s103,Movie,Romance Road 6,Emily Davis,,Brazil,"June 05, 2025",2005,TV-PG,100 min,Musical,A documentary about life,5.4
s104,Movie,Animation World 51,,"Oliver Green, Benjamin Turner, Mia Young","Turkey, Nigeria","June 09, 2023",1994,TV-PG,107 min,Horror,An animated adventure,7.5
s105,TV Show,Family Show 25,Mark Thompson,"Oliver Green, Sophie Taylor, Chloe Lopez, Ryan Davis",Argentina,"June 04, 2018",2013,TV-PG,7 Seasons,War & Military,An animated adventure,7.8
s106,Movie,Adventure Quest 72,Jennifer Lopez,"Oliver Green, Emma Smith, Ava Clark, Tom Johnson",Belgium,"April 19, 2021",2021,TV-G,166 min,Romance,A thrilling adventure story,5.5
s107,Movie,Action Hero 36,Jennifer Lopez,"Benjamin Turner, Isabella Adams, Charlotte Miller, William Thompson, Olivia Brown",Israel,"March 26, 2024",2024,G,172 min,"Horror, Documentary, Family",A thrilling adventure story,6.1
s108,TV Show,Animation Fun 6,Emily Davis,"Matt Anderson, Benjamin Turner, Ava Clark",Russia,"November 10, 2016",2003,G,10 Seasons,Historical,A musical journey,7.2
s109,Movie,Fantasy Land 87,David Wilson,"Emma Smith, Luke Garcia, Jake Wilson, Charlotte Miller, Grace Martinez",Argentina,"July 16, 2023",2015,TV-14,128 min,Drama,A heartwarming family tale,8.0
s110,Movie,Family Fun 59,Christopher Lee,"Oliver Green, Ava Clark","Switzerland, Turkey","October 26, 2019",2021,NC-17,146 min,Sports,A historical drama,4.7
s111,Movie,Musical Dreams 3,,,"Indonesia, Brazil","October 21, 2024",2007,TV-Y,124 min,"Romance, Comedy",A romantic comedy,8.0
s112,Movie,Animation World 84,,"Isabella Adams, Ryan Davis, Jake Wilson",China,"February 08, 2015",,PG,168 min,Documentary,A musical journey,5.0
s113,TV Show,Adventure Time 20,David Wilson,"Ryan Davis, William Thompson, Tom Johnson",Norway,"February 07, 2023",1999,TV-14,8 Seasons,Horror,A heartwarming family tale,6.3
s114,TV Show,Horror Tales 21,Maria Garcia,"Grace Martinez, Charlotte Miller","Philippines, United Kingdom","July 04, 2024",2009,TV-14,9 Seasons,Comedy,An action-packed thriller,5.0
s115,Movie,Crime Scene 82,Anthony Green,"Ava Clark, Noah White","Poland, Denmark","February 15, 2021",2020,PG,64 min,Sci-Fi & Fantasy,A thrilling adventure story,6.4
s116,TV Show,Action Pack 41,Michelle Rodriguez,"Ryan Davis, Charlotte Miller, Benjamin Turner, Jake Wilson, Luke Garcia",Turkey,"January 23, 2024",2010,TV-MA,2 Seasons,Documentary,A heartwarming family tale,5.0
s117,TV Show,Family Show 39,,"Olivia Brown, Tom Johnson, Jake Wilson",Norway,"November 12, 2020",2006,PG-13,5 Seasons,Action & Adventure,A documentary about life,4.8
s118,Movie,Biography Life 81,,"Emma Smith, Isabella Adams, Sophie Taylor, Ava Clark","Germany, Thailand","April 23, 2023",1992,G,122 min,Thriller,A thrilling adventure story,8.8
s119,TV Show,Fantasy World 42,Christopher Lee,"Luke Garcia, Ryan Davis, Ava Clark, Olivia Brown","Mexico, Thailand","January 08, 2024",1992,PG,8 Seasons,"Family, Crime",An animated adventure,
s120,Movie,Horror House 38,Jennifer Lopez,"Oliver Green, Ava Clark, Isabella Adams","Israel, Argentina","September 08, 2016",,R,198 min,"Action & Adventure, Crime",,8.5
s121,TV Show,Fantasy World 20,Anthony Green,"Isabella Adams, Emma Smith, Jake Wilson, Luke Garcia, Ryan Davis",Egypt,"August 19, 2019",2013,NR,2 Seasons,"War & Military, Drama",A thrilling adventure story,9.0
s122,TV Show,Drama Series 19,Christopher Lee,"Noah White, Amelia Moore, Oliver Green, Luke Garcia, Grace Martinez",France,"September 28, 2016",2018,TV-Y7,2 Seasons,"Sci-Fi & Fantasy, Musical, Family",A heartwarming family tale,
s123,Movie,Romance Road 91,Sarah Johnson,"Jake Wilson, Ryan Davis, Grace Martinez, Ava Clark",Indonesia,"December 01, 2017",2001,,163 min,"Historical, Documentary",A heartwarming family tale,5.2
s124,Movie,The Mystery 8,Maria Garcia,"Ava Clark, Ryan Davis, Luke Garcia, Benjamin Turner, Tom Johnson",China,"January 28, 2024",2011,TV-G,72 min,"War & Military, Sports",,5.3
s125,Movie,Horror House 24,Kevin Young,"Amelia Moore, Grace Martinez",Hong Kong,"September 07, 2015",2014,R,194 min,"Historical, Action & Adventure, War & Military",A dark horror story,8.2
s126,Movie,Family Fun 73,Daniel Clark,"Noah White, Grace Martinez","Nigeria, South Korea","January 26, 2024",2023,TV-14,119 min,Documentary,A musical journey,
s127,TV Show,Drama Series 37,Daniel Clark,"Sophie Taylor, Grace Martinez, Noah White",United Kingdom,"November 21, 2022",1999,R,8 Seasons,Comedy,An action-packed thriller,4.6
s128,TV Show,Romance Stories 1,Laura Miller,"Noah White, Sophie Taylor, Amelia Moore",Australia,"September 07, 2023",2023,PG,6 Seasons,"Horror, Crime",A mysterious drama series,7.9
s129,Movie,Animation World 82,,"Grace Martinez, Benjamin Turner, Sophie Taylor, Ethan Rodriguez",Spain,"December 28, 2016",2015,TV-14,68 min,Documentary,A heartwarming family tale,5.2
s130,Movie,Love Story 31,Christopher Lee,"Noah White, Oliver Green",,"May 08, 2017",1994,PG,60 min,Biography,A documentary about life,6.3
s131,Movie,War Stories 49,Jessica Turner,"Sophie Taylor, Oliver Green, Ryan Davis",United Kingdom,"July 29, 2018",1996,,103 min,Drama,A heartwarming family tale,9.1
s132,Movie,Crime Scene 91,,"Amelia Moore, Mia Young, Sophie Taylor",Italy,"August 04, 2019",2024,NC-17,136 min,Historical,A mysterious drama series,
s133,Movie,The Mystery 55,,"Matt Anderson, Olivia Brown, Tom Johnson, Amelia Moore, Sophie Taylor","Hong Kong, Germany, Indonesia","October 20, 2023",2021,NC-17,83 min,Mystery,A dark horror story,4.7
s134,Movie,Musical Dreams 60,James Martinez,"Olivia Brown, Ryan Davis, Ava Clark",Thailand,"March 17, 2021",2014,TV-Y7,197 min,"Documentary, Sports, Family",A musical journey,
s135,TV Show,Family Show 34,Laura Miller,"Sophie Taylor, Amelia Moore, Matt Anderson, Charlotte Miller, Jake Wilson",Russia,"April 07, 2017",1999,NC-17,6 Seasons,"Drama, Historical, War & Military",A crime investigation story,5.8
s136,Movie,Musical Dreams 2,Laura Miller,"Olivia Brown, Mia Young, Jake Wilson, Charlotte Miller, Amelia Moore",France,"October 24, 2023",2024,TV-Y7,127 min,Sports,A romantic comedy,7.4
s137,Movie,Documentary Life 5,Christopher Lee,"Isabella Adams, Luke Garcia",Indonesia,"June 27, 2018",2021,TV-MA,85 min,Family,An animated adventure,6.0
s138,TV Show,Fantasy World 27,Michael Brown,"Mia Young, Isabella Adams, William Thompson","Malaysia, Brazil","September 26, 2015",2022,TV-PG,10 Seasons,Sci-Fi & Fantasy,An action-packed thriller,
s139,Movie,Action Hero 47,,"William Thompson, Ethan Rodriguez, Olivia Brown, Tom Johnson, Grace Martinez",Mexico,"October 05, 2024",2025,PG-13,126 min,"Family, Action & Adventure",A mysterious drama series,8.2
s140,TV Show,Drama Series 15,Robert Taylor,"William Thompson, Tom Johnson, Benjamin Turner, Isabella Adams, Jake Wilson",United States,"July 05, 2017",2009,NR,5 Seasons,Mystery,An action-packed thriller,7.7
s141,TV Show,Animation Fun 40,Emily Davis,,"Denmark, Philippines, Indonesia","September 04, 2022",1994,NC-17,6 Seasons,Family,A crime investigation story,8.7
s142,Movie,Sports Champion 52,David Wilson,"Chloe Lopez, Luke Garcia, Mia Young, Ethan Rodriguez, William Thompson",Italy,"November 06, 2018",2004,TV-MA,181 min,"Western, Family",A historical drama,5.4
s143,Movie,Dark Night 61,James Martinez,"Noah White, Ryan Davis, Grace Martinez","Indonesia, Poland","November 03, 2023",2013,NC-17,178 min,Drama,An action-packed thriller,8.6
